grid,time_to_solve
41.........59..8.....8......3....5...6..7..........4.....1...9....52....7...4....,0.01752
5..39.1........28.6....4..9...4.7..1....8.7...736...5.79........1..6.94.3.45....6,0.006996
6........8.....32.....5...............5.7..9.43...68...7.6.........1..6.2......4.,0.016008
..268.9..87.593.1...3...4..35.1........2.5......8..2.........71..5.4..2..17...89.,0.010001
...18592683....4.11.7.69..5.8.5...7....3..5.....7.....6...1...42.8...35....2.41.8,0.007001
..7..8......6.23.....14...5.......2.9......7..........6..49...1...8...5..........,0.394901
7...3..25...51..9...26..4..271..3.68...1....36..8.4.5..27...1.4...42.....1.7698..,0.003005
...............8.3.....8524............629......7......6........3...7.....89..31.,0.058011
..5.....64........7.............7.8.........1...95....397...12....1..8....2......,0.015521
83.26.9.1..2....8........4...975.....4.....58.1.....36.7...81..25461......65...2.,0.005
.5.3..76........8.79..48.32...8.....8..5.72..473..1...3.9...67..16.8..4.5.892...3,0.004
96.....41.85..4........98..7.951.....3.9...7.1.8.....3..4....9...6.3.2........7.8,0.006002
7....5.1..3...4.5.1...........6.8..9...75....6....9.72..................5......6.,0.017524
7..9....2.......56431.5......6.....3.2...8..19....65..8...21.45.1......8...6.97..,0.005
.....75.17....6...24..8.76..9..4.1........8....5938.....7..5.9.48....2.3.21.6..7.,0.004
.12.39...5.............4..1.....8.....97.........6..3.4......9.........61.79.....,0.352168
..6.....3..195..2.........1...62.....5..79...............8...6....43.....8.......,0.195087
8...1...5...9.8..3...........84...9.............2.7.4............4.9.......6..43.,2.031999
...489.7..71.......4....6..1.......26..37.9...9....8543.271..65....9..2....8.....,0.010003
...4...8..65..3....1..7...6.....4..7..7......3.4.679..6829...73....3249.......86.,0.013014
.9....5.64...23..715.8..........6.24..5937.......85........4.1.624...7....87...5.,0.005001
6....5.2.1.8..9.....3147...32....8....1.2...3.7.43.15.........54..273.....7.1.2..,0.010516
4....3......2....6.....93.....1..5......86..7...................1.6..7.....8....2,0.415721
7..3..............31.....9...........4....52.68.....1....1....4.....89...37......,3.400567
.2......51..5397..4...8...3......89.2.9..6......85.....4....3.8.....8.....3.2.9.4,0.012004
..9........1...7.......4.39.8.......2.51..6........3................19....8..6.4.,2.357139
...19...8....2...7..83...6.6..........1..2....5...6..9.4..3..............9.......,0.405184
8...46..57........1.3...9.2.1.952..4.49....68.36....7..8..174........1....7.63...,0.004002
.1.35.6..7...42..1.......7....5.......1.........8...92....7......5..6............,0.265134
.....4..1.....................7...1.2..4...631...9....6..2...4.....5..9....14.8..,0.209722
2.......7...9.......3.4...9372...4.5.....7..6..1.63...8...3..514.7.92....3...1..8,0.008003
7.4........247..........5.....68.2..2...31..................92......7....9.8.....,0.051011
..2..3.1.......4...6....3.5......8.......8.7....7........39..4........83.........,0.341145
....879.4.4.5....67..4...13.........6281..7..1..6......54.23..98...9.57....8..32.,0.007001
......3....4.7.....97...6...8....57..3.9..8...2............5........1...........5,0.347031
56.3......2...4..5...87.32...67.3.....7.....3.5.6.......4..9..7.79....1....4.52.8,0.007001
...489....7......16........1...5..62.9..14.5......7.....3..2....61....2..5763..4.,0.009001
.....47.........6.49..7..856....32.75.....9.3.1..2.5.....76...9..43...7.235...8.4,0.006001
........8.....2.47......2..........1....2........8.3......5.8.3...9.....6....39..,0.019022
....2......6....8.............8..21......7.45.32.........9.....1...3........1.75.,0.613863
..1.35.8..9..4....4356..1.7......41.6.7.9....9..52....2..3.97....67..5....9.6.2..,0.005
.1..68..5.3...98....813......79....4.6.523...1....7..3..5..4........135...4.821..,0.006001
......5.86.2....7...7.1........26....31.................5.8.............9...4..3.,0.016023
1..834..........82..6.9.1..9....6...7.45..8.......8...8.37.1....6.4.9723......514,0.007001
5.....421.2.896...943..1.7.....5.68.....6.5..4...73.....742.15...6.3...719.......,0.005001
.....4......5.69...95....6..7...2813.5.86.....8..3.72..64....91...19.4..53.2.7.8.,0.005001
.8.....4....78.1..91.5.27.....3....7425.1....1.9..75.....874.........9.8..86.942.,0.004
25196....78........3.....5...6............8.7....5..............72..........9.4..,0.606264
1..3.6..78.........49.7135..3..5........1........947..3.6..527.....8...54.2..3..8,0.008012
.3.....2.7.1..4.8....2..3.4..46...3.9.5.3.6....35.9.7.19.8.7..5.......182..9.....,0.005001
.....142.......6..4..7..........3...7....5..8..8.....9...........6..2.........3..,0.849608
.5942..7.2..13.5.97.........2.89.3.63.521....8.7.5......4.651....17..65..3....82.,0.003501
..54.9.7........8.7...1.....5....7............1.......2.6.............655.3......,0.440201
....3.87.....5.....7......2...............6...3...948..........3.......4.1...6..5,0.415069
9.3.2.....2.8....6......8.16.84..15.5.1...23....6...4..32...5.98.52...7.14..9...3,0.004001
......19....8.156.2...9.8....8.7....4...3.....296.4..39....6.2.36.5.2..9......67.,0.006508
.31.....4.......2.85...1.......6.......2.....398...5...6.7..1..................9.,0.475109
2.7...16..........4..17...5..24.7.5...8691.....6.....187.3...4.6.12.4...5.....8.3,0.00601
..24.......69.8.......6..8..4.....3..........5......1.4.7....6.9......2....1...5.,0.287121
4....9..318..34.7.....1.6.....2..4..3..8..5.1...1..96..62...8.78...72..........14,0.007007
3..4.....6.783.....4...62...6.......93.1.......13.2985.78....1.2.9.814.....5..836,0.004001
.1........5....9..9............68......................7.9.3.....2..........4.32.,0.300134
......69............25.......7......5....4....4.7.5..8..........34..1.......5....,0.946525
.......379....4...3...12..8....9..74..23.....4..8....1547..3...8...65......7..286,0.006509
....3.......6..2.4..4.8...7.9.4.................2.56...78.6..21.....1............,0.015002
..2....844...8562..96...3..721...4.9...............8.3.5..7....8..9.3.1....2.1.78,0.006
.1..75.9.429.1......3.9.56...1..6..7..794..56..5....1.9..538.71..2..1..43.4.278..,0.004001
9...4.....................38..45......4326.................4....618......8.1..7..,0.268951
.....37...12..5849.7..1..5...6.31........8...7.8....346..54..28.51.9..........173,0.006001
..........96.8324125.1..7.....5..6..7...2...3..3.6..7586..7..5.539....6...7......,0.009002
...82....16..5.....2...3...9....5.......7.36.......................4...8...237...,0.282844
.2...........78.56..619...7....5..3.9...4.7.215...26.4..8....7.4....6...23..85...,0.005002
..............82.4.589..67.5...8..3..2....8.1....567....4.....72.3....46...1.4..3,0.008213
3...9...5...3472...87.2..69..61.8....4....6279.......46...7.....9......1...45..9.,0.006003
.17........69...2........85.....6......5.2...........63.1...............7..8.4...,0.313785
..5.....2.1........74.......8.5.....6......9.4..8.....1.....9........2...3.....7.,0.184089
9..........3.5........412..6...........5.......16....8......15....175.....7...8..,0.32014
.27..6.1....1.....9.....32........9469....57...58.7..2.7..5498.3.....7..21...3.6.,0.006001
........35....2.9..7.98...............31....9........1........6.3......2..1..4...,0.018023
18.....73.452..91...2.6..5...8756...7..3.1.69269..8.3....51.29..1.8.9..7.5..7.1..,0.004
